covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
TFP,1.727506950888158,5.6266089958146015,1.2756094599332797,-0.7726416489196595,4.227655550695975,0.4617915644420595,68.55631680936429,0.0,1.3542600655991643,0.1756534218711321,2.5091964131837425
GE,0.8652500668569695,2.375600070549148,0.49007754722304403,-0.0952842753319244,1.8257844090458635,0.9091144589162947,6.207662456408836,0.0,1.7655370497175153,0.07747354916554747,3.690152356823748
AGEDEP,-0.050871086541364914,0.9504011821390402,0.020917965301098764,-0.09186954516137705,-0.009872627921352788,0.9122241458368338,0.9901759464859071,0.0,-2.4319328294656266,0.015018492217345546,6.057116209129457
IND,-0.0569695375197121,0.94462284448302,0.03881807851394994,-0.13305157335610207,0.019112498316677877,0.8754199426000867,1.0192963112868243,0.0,-1.4676032328400574,0.14221202935496075,2.813884590853159
TO,0.003452458843363055,1.0034584254439005,0.006027592242267207,-0.0083614048649737,0.01526632255169981,0.9916734544553939,1.0153834481203654,0.0,0.5727757792163548,0.5667965206550349,0.8190971927519909
CREDIT,-0.008141611944118029,0.9918914412155795,0.007278716399133151,-0.022407633940100074,0.006124410051864017,0.9778415523936436,1.006143202595933,0.0,-1.1185505105113922,0.2633319464995165,1.9250455402309496
ECI,0.7913684753998216,2.2064137841804787,0.4537257540788309,-0.09791766145296454,1.6806546122526078,0.9067235589807865,5.36906947967013,0.0,1.7441559538679574,0.08113189941248261,3.623586925446541
is_UM,-1.4818863011795749,0.2272086998716667,0.5260238131718452,-2.5128740300068175,-0.4508985723523322,0.08103500720119478,0.6370554539373445,0.0,-2.817146798438689,0.0048452374227554605,7.689216923409844
