covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
AGEDEP,-0.0374584309609062,0.9632344576194313,0.021944947059052464,-0.08046973683928721,0.005552874917474804,0.9226828264599013,1.0055683207036712,0.0,-1.7069273787768973,0.08783555122988407,3.5090512044334266
GE,1.422722315360617,4.148398330796908,0.36236478122439747,0.712500394895062,2.132944235826172,2.0390834035400234,8.439678671839472,0.0,3.926215761237525,8.629275601093873e-05,13.500401019386468
IND,-0.036896745722616045,0.9637756441693084,0.02458877852216005,-0.08508986604988175,0.011296374604649669,0.9184297450394892,1.0113604195757266,0.0,-1.5005522006456617,0.13347142236856158,2.9053972160502006
TO,0.005439364330849144,1.0054541845316505,0.00410247755996418,-0.00260134393406441,0.013480072595762697,0.9974020366290961,1.013571338403176,0.0,1.325873024616041,0.18488175952212052,2.4353251997562952
