covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
AGEDEP,-0.05120433806708711,0.9500845122633346,0.012555455665166785,-0.0758125789803034,-0.02659609715387082,0.9269899276768729,0.973754464306655,0.0,-4.078254062028654,4.5375167001117706e-05,14.427737521549009
GE,0.7209170008232347,2.056317991630112,0.294961281774846,0.142803511710766,1.2990304899357035,1.153503129540981,3.6657409714912026,0.0,2.4441072281938863,0.014521109935334477,6.105704458410566
IND,-0.031190752806656317,0.9692906605263316,0.021632590606698875,-0.0735898512880856,0.011208345674772958,0.9290526654624768,1.0112713945187195,0.0,-1.4418408490103634,0.14934727616995327,2.743257169203409
TO,-0.004431998687663382,0.9955778081252438,0.0037157645764184263,-0.011714763432473227,0.0028507660571464623,0.9883535872443071,1.0028548333547558,0.0,-1.192755514111533,0.23296513711968297,2.1018140209852945
CREDIT,0.0033328517886560293,1.0033384119144877,0.005793121931497256,-0.008021458555127706,0.014687162132439764,0.9920106274939263,1.0147955484773774,0.0,0.5753118660484745,0.5650803978069299,0.8234719507831503
