Code,From,To,Duration,Transition_Year,Is_Left_Censored
TUN,LM,UM,19,2010,True
TUR,LM,UM,6,1997,True
TUR,LM,UM,1,2000,False
TUR,LM,UM,3,2004,False
TUV,LM,UM,2,2011,False
TZA,L,LM,28,2019,True
UKR,L,LM,3,2002,False
UKR,LM,UM,21,2023,False
URY,UM,H,21,2012,True
UZB,L,LM,10,2009,False
VCT,LM,UM,12,2003,True
VEN,LM,UM,3,1997,False
VEN,UM,H,17,2014,False
VNM,L,LM,18,2009,True
VNM,LM,UM,16,2025,False
WSM,LM,UM,25,2016,True
WSM,LM,UM,4,2024,False
XKX,LM,UM,10,2018,False
YEM,L,LM,18,2009,True
ZAF,LM,UM,1,1999,False
ZAF,LM,UM,3,2004,False
ZMB,L,LM,19,2010,True
ZMB,L,LM,1,2022,False
ZWE,L,LM,27,2018,True
