Country Code,Indicator Code,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AFG,GE,-2.3446017,-2.0988761,-2.1081208,-1.156126,-1.3907016,-1.6259661,-1.5929686,-1.6680318,-1.5587942,-1.5857412,-1.6043337,-1.4997935,-1.5009938,-1.5246032,-1.4711716,-1.4177302,-1.4421872,-1.6312498,-1.6540805,-1.7167282,-1.7059035,-1.9646115,-2.0924592,-1.9339966
ALB,GE,-1.1093724,-0.6571054,-0.6637265,-0.4499559,-0.6979427,-0.6153929,-0.5171955,-0.4824716,-0.2900014,-0.2964483,-0.2490677,-0.3393566,-0.3564184,0.0801175,0.1835585,0.1974461,0.256049,0.2684643,0.0266494,0.0187103,0.1116368,0.1929668,0.293429,0.3123437
DZA,GE,-1.0812973,-0.7183696,-0.8617248,-0.680783,-0.6847363,-0.7349677,-0.7517159,-0.7243628,-0.6983821,-0.6027467,-0.7223981,-0.6595197,-0.5509556,-0.3152327,-0.3555636,-0.4244363,-0.5231578,-0.2892145,-0.315897,-0.2693237,-0.4641151,-0.2671351,-0.355561,-0.2511914
ASM,GE,,,,-0.0644599,-0.2988565,-0.3018027,0.2189602,0.2224354,0.2345697,0.2368725,0.2355177,0.2358589,0.23624,0.767958,0.7651163,0.7661041,0.7664249,0.7681859,0.7699023,0.7650002,0.7679093,0.7674713,0.7690129,0.767382
AND,GE,0.7532431,0.7534943,0.7406422,0.8951417,0.7337585,1.2471197,1.2515751,1.2550503,1.2671846,1.2694874,1.2681327,1.2684739,1.268855,1.8005729,1.7977313,1.7987191,1.7990398,1.8008008,1.8025173,1.7976151,1.8005243,1.1591046,1.1602754,1.1590368
AGO,GE,-1.1141214,-1.2300935,-1.4582044,-1.5316839,-1.5412074,-1.4924701,-1.4130187,-1.3238188,-1.0974384,-0.9515013,-1.0097747,-1.0191994,-1.0286328,-0.9400114,-0.9378237,-0.9493847,-0.9681157,-0.9784602,-0.9116965,-1.0163604,-0.9347008,-0.8325718,-0.8287026,-0.7851909
AIA,GE,,,,0.5613671,1.7663734,1.7634272,1.7678826,1.7713578,1.7834921,1.7857949,1.7844401,1.7847814,1.7851624,1.4563681,1.4535264,1.4545142,0.7664249,0.7681859,0.7699023,0.7650002,0.7679093,1.1116761,1.1132177,1.1115868
ATG,GE,0.7532431,0.7534943,0.7406422,0.5101852,0.5788558,0.5765812,0.580021,0.5827039,0.592072,0.7531799,0.7518252,0.7521664,0.7525475,0.0795479,0.4209115,0.4218993,-0.2661901,-0.2644291,-0.2627126,-0.6118196,-0.6089105,-0.0927924,0.4312085,0.4299698
ARG,GE,0.0107824,-0.2252559,-0.1358752,-0.023834,0.013348,0.0518902,0.0008549,-0.0710406,-0.0584799,0.0072363,0.0717304,0.0013935,-0.0162575,0.1781782,0.1187015,0.3427634,0.2956525,0.257748,0.2629574,0.148927,0.1125651,0.1085858,0.0614731,0.1837479
ARM,GE,-0.6449407,-0.2957267,-0.3023479,-0.1956257,-0.2233106,-0.239965,-0.3655469,-0.2999247,-0.0404606,-0.1432718,-0.0113661,0.0313392,0.0697532,-0.1326294,-0.1424065,-0.1056077,-0.010591,-0.1730616,-0.2531827,-0.3375702,-0.3553578,-0.3306901,-0.163441,-0.3640294
ABW,GE,,,,0.8951417,1.2500659,1.2471197,1.2515751,1.2550503,1.3983691,1.0023954,1.0015699,1.0017778,1.00201,0.6967705,0.6950388,0.6956408,0.6958363,0.9066629,0.9077089,0.9047216,0.9064944,1.0084741,0.6576186,0.6567856
AUS,GE,1.7893043,1.9223958,1.9394757,1.7890482,1.8033736,1.7583757,1.7472507,1.734412,1.65062,1.7130228,1.7037267,1.7045531,1.6221252,1.7947484,1.6762148,1.6248454,1.6442984,1.7247815,1.6666492,1.6054566,1.7024874,1.7675146,1.7818134,1.8090452
AUT,GE,1.9747909,1.9624974,1.8622422,1.8071699,1.881578,1.7737449,1.7741679,1.729943,1.628888,1.7509901,1.5645026,1.5204181,1.5738779,1.6929112,1.6009157,1.658232,1.6138342,1.6043579,1.7527565,1.9079985,1.8163061,1.7373291,1.5790569,1.5145106
AZE,GE,-1.3849617,-1.1844661,-1.1894435,-1.0690396,-0.9041952,-0.8634636,-0.8094255,-0.8223916,-0.7260011,-0.8597442,-0.7958644,-0.8083243,-0.6064243,-0.4254637,-0.3537252,-0.1263081,-0.1355348,-0.1558709,-0.0555998,-0.0570333,-0.0569923,-0.0543532,0.0656316,0.1661183
BHS,GE,1.1423342,1.1424982,1.1341046,0.9250596,1.129609,1.1276848,1.1305946,1.1328642,0.9769895,0.9780496,0.977426,0.9775831,0.9777585,0.7471619,0.7458537,0.7463085,0.7464561,0.7472668,0.748057,0.5873396,0.5886789,0.7093344,0.7099538,0.7092986
BHR,GE,0.4698725,0.3820288,0.3777992,0.3772643,0.2695948,0.2778683,0.3484973,0.3002283,0.3685138,0.3995029,0.4333329,0.3354941,0.3589139,0.4256973,0.44791,0.4226535,0.4227562,0.4181683,0.4361988,0.4205912,0.7183116,0.7297568,0.7325207,0.6002525
BGD,GE,-0.8710785,-0.8543124,-1.0668967,-0.906057,-0.894647,-0.9439661,-0.8728241,-0.844899,-0.8145983,-0.8070768,-0.8372577,-0.7988014,-0.7739057,-0.6851605,-0.6547007,-0.5337691,-0.573203,-0.6193938,-0.5970582,-0.7213698,-0.5638994,-0.62345,-0.5574534,-0.6189746
BRB,GE,0.7532431,0.7534943,0.7406422,0.6014911,1.3423683,1.4131061,1.3271495,1.5294458,1.3184236,1.2232303,1.2759677,1.2905412,1.2093535,1.164952,1.1636099,0.9780647,0.9782162,0.9790479,0.7790151,0.6105647,0.6625554,0.7073038,0.6052291,0.60457
BLR,GE,-1.3091068,-1.4137281,-1.4203492,-1.2599731,-1.2876715,-0.9909852,-0.9883947,-1.0478556,-1.0481149,-1.0551971,-1.0673804,-1.0741204,-1.0027888,-0.4791856,-0.3341197,-0.3286362,-0.201457,-0.229958,-0.2387162,-0.6167824,-0.6825409,-0.5969261,-0.5964061,-0.7015463
BEL,GE,1.7838968,1.9363037,1.7075541,1.6404506,1.6989455,1.5280568,1.5124984,1.5519592,1.7446252,1.659156,1.7960063,1.8013661,1.8156516,1.5482903,1.5255063,1.3520474,1.1503596,1.2308189,1.1205719,1.1695968,1.2282716,1.3103839,1.1646047,1.1947395
BLZ,GE,-0.2793718,-0.2791206,-0.2919728,-0.392167,-0.4764967,-0.469515,-0.5193893,-0.5237277,-0.5186637,-0.2767142,-0.2683306,-0.268194,-0.2680415,-0.4369717,-0.3941298,-0.41265,-0.4124914,-0.3950567,-0.3772395,-0.3797712,-0.3782688,-0.1413049,-0.0642292,-0.129095
BEN,GE,-0.7956793,-0.6357049,-0.6449496,-0.4463045,-0.6133987,-0.6931451,-0.6041193,-0.5327602,-0.4612493,-0.4821387,-0.4467532,-0.5014158,-0.5198363,-0.4471044,-0.5410404,-0.4948066,-0.46663,-0.362429,-0.3133743,-0.1887935,-0.2018892,-0.2149135,-0.216368,-0.1854211
BMU,GE,0.7532431,0.7534943,0.7406422,0.6448107,0.7337585,0.7308122,0.7352677,0.7387428,0.7508772,0.7531799,0.7518252,0.7521664,0.7525475,1.4563681,1.4535264,1.4545142,1.454835,1.456596,1.4583124,1.4534103,1.4563194,1.214283,1.4768692,1.4756305
BTN,GE,0.2369357,0.2371868,0.2243347,0.2677191,0.3537186,0.1891631,0.2046584,0.2599671,0.4132294,0.4330688,0.4711814,0.5172017,0.6398365,0.4198133,0.3649184,0.440651,0.4832628,0.5384773,0.4846393,0.4837444,0.5963822,0.5347986,0.5353028,0.5808357
BOL,GE,-0.4884996,-0.4897682,-0.5017882,-0.5545755,-0.4652255,-0.4843923,-0.4495042,-0.4878087,-0.3618237,-0.3055989,-0.2672438,-0.2476484,-0.1627207,-0.3868723,-0.4320931,-0.3327318,-0.313079,-0.364265,-0.4578656,-0.4718419,-0.4784584,-0.4335715,-0.4093864,-0.6104172
BIH,GE,-1.4050976,-1.3473428,-1.3536094,-0.7838016,-0.7211271,-0.6810722,-0.7722494,-0.6884491,-0.6804742,-0.7085987,-0.7322155,-0.5915425,-0.5381602,-0.2379292,-0.4626996,-0.4139216,-0.4707049,-0.6666,-0.7937191,-0.7051218,-0.8403621,-0.7459726,-0.6453703,-0.6353163
BWA,GE,0.2321815,0.444301,0.6238241,0.5092061,0.5932223,0.3623225,0.5667941,0.5227345,0.5628411,0.5312259,0.5431636,0.5525088,0.5476863,0.5180867,0.5694337,0.5361603,0.4156169,0.3467776,0.4033395,0.310377,0.4025631,0.4593723,0.5409963,0.4168893
BRA,GE,-0.161961,-0.0536477,-0.1177712,-0.2171344,-0.3449277,-0.378799,-0.3870143,-0.1188332,-0.0252665,-0.0076855,-0.0357455,-0.0055523,0.1384625,-0.0203333,-0.1018264,-0.1005395,-0.1049895,-0.2064206,0.0428329,-0.0873995,-0.0686134,-0.2352194,-0.2666224,-0.224003
BRN,GE,0.4679436,0.4681076,0.459714,0.4073455,0.4552184,0.6451745,0.6480843,0.6779864,0.7798184,0.7436709,0.7425023,0.7478848,0.8076506,1.1383825,1.1373096,0.9756594,1.0134455,1.0202584,1.0771038,1.0752528,1.0763513,0.9849534,0.9854734,0.8351988
BGR,GE,-0.3193332,-0.0419982,-0.0474568,-0.0150204,-0.0613293,-0.1664398,-0.1576116,-0.2498712,-0.0587278,-0.2958077,-0.2805498,-0.202198,-0.1532468,-0.1542943,-0.1097245,-0.0689039,-0.0494362,-0.0244659,0.0359426,-0.0577386,-0.014807,-0.0737381,0.1061571,0.0428203
BFA,GE,-0.973968,-1.0826304,-1.0893194,-0.7835675,-0.7423131,-0.8342122,-0.7284371,-0.5880798,-0.550792,-0.518394,-0.5279818,-0.6191411,-0.6252001,-0.5627279,-0.6531111,-0.5249352,-0.5109375,-0.4822964,-0.627609,-0.6308904,-0.7464479,-0.8714085,-0.864281,-0.8748674
BDI,GE,-1.8282942,-1.9445053,-1.95375,-1.5282262,-1.3694248,-1.3396498,-1.3584566,-1.2512833,-1.0910389,-1.2006202,-1.1611384,-1.1869228,-0.8972943,-0.8758081,-0.9257032,-1.0721309,-0.9217583,-1.0293582,-0.9766193,-1.0934389,-1.1242343,-1.1809945,-1.108269,-1.0060869
CPV,GE,,-0.3020434,-0.3144311,-0.3541324,-0.2222417,0.1384059,0.2908065,0.1812377,0.1808895,0.107822,0.1311091,0.1117572,0.07416,0.1923468,0.3232931,0.2898294,0.3194131,0.345416,0.383949,0.3949941,0.2774591,0.3600121,0.361672,0.4151952
KHM,GE,-1.0508417,-1.1388613,-1.1451886,-1.0660651,-1.2866826,-1.1887831,-0.9474048,-1.0035669,-0.8036431,-0.814118,-0.7478373,-0.7009489,-0.8143031,-0.5981221,-0.5898441,-0.572328,-0.4673244,-0.4851255,-0.5152334,-0.5904535,-0.643403,-0.4625515,-0.4160661,-0.2935013
CMR,GE,-1.0516097,-1.2050191,-1.2859289,-1.048838,-1.0799827,-1.0844884,-0.9545798,-0.894691,-0.8292826,-0.8190524,-0.8421703,-0.8326177,-0.7950544,-0.5751346,-0.6267228,-0.6124981,-0.6251,-0.6780214,-0.7379684,-0.8271415,-0.7877108,-0.7843452,-0.7787017,-0.8007887
CAN,GE,1.9204677,1.9763346,1.9080933,1.8705174,1.861353,1.7978845,1.820534,1.8470855,1.7892317,1.8008051,1.8561632,1.9358475,1.8530136,1.9138517,1.8766375,1.8665128,1.9509261,1.8344901,1.8495246,1.6877631,1.682819,1.8072447,1.7452669,1.7591249
CYM,GE,1.7858581,1.7861092,1.2569496,0.8951417,1.2500659,1.2471197,1.2515751,1.2550503,1.0009922,1.0023954,1.0015699,1.0017778,1.00201,1.1162778,1.1145462,1.1151481,1.1153436,1.1164167,1.1174627,0.9047216,1.1162482,1.1842957,1.1850832,1.1842501
CAF,GE,-1.3119868,-1.727489,-1.7367337,-1.6558153,-1.7555964,-1.67014,-1.6327306,-1.6332668,-1.5246398,-1.4094241,-1.4041863,-1.4247717,-1.5187178,-1.6249509,-1.6179467,-1.5617326,-1.5629538,-1.5339025,-1.5816743,-1.6123187,-1.5775561,-1.5903191,-1.5707645,-1.57655
TCD,GE,-0.7956793,-1.2017311,-1.608562,-1.2722611,-1.3765091,-1.4484387,-1.4351661,-1.4822531,-1.3361595,-1.2969073,-1.2335999,-1.3185712,-1.2533334,-1.2514726,-1.232359,-1.1872693,-1.10043,-1.178056,-1.26227,-1.2291822,-1.2404592,-1.1754288,-1.2154601,-1.1005006
CHL,GE,0.9391959,1.1052274,1.1599142,1.1459329,1.3054961,1.2768856,1.2860486,1.1968363,1.2743821,1.155394,1.2408511,1.2838887,1.2255779,1.1023819,1.0506453,0.9734877,0.9620758,1.0356277,1.0469727,0.8727629,0.8697585,0.8753581,0.9969509,0.964461
CHN,GE,-0.4964127,-0.5173674,-0.5050609,-0.3548072,-0.4690918,-0.3960377,-0.2451269,-0.1403096,-0.14832,-0.1269778,-0.104167,-0.1320098,-0.1410284,0.4896286,0.5336101,0.543189,0.5787617,0.5311035,0.6706547,0.5674972,0.6669456,0.5292387,0.7776287,0.8957842
COL,GE,-0.4859849,-0.7687469,-0.4180993,-0.2488422,-0.3124671,-0.2040905,-0.1895281,-0.1818918,-0.2490387,-0.1486694,-0.0530657,-0.1049844,-0.0488965,-0.2072724,-0.134012,-0.1150666,-0.1489232,-0.1139281,-0.0738128,-0.082969,-0.0318011,0.0015825,-0.0421246,-0.1110991
COM,GE,-1.3119868,-0.7954281,-1.3245877,-1.4426344,-1.6013118,-1.5923588,-1.5906167,-1.6707387,-1.6389712,-1.6305278,-1.6969104,-1.5902603,-1.527998,-1.3214626,-1.4105773,-1.3535015,-1.2955426,-1.313442,-1.3431515,-1.374859,-1.5520366,-1.3767923,-1.2489279,-1.2085975
COD,GE,-2.0321191,-2.1492711,-2.15596,-1.8129762,-1.7346249,-1.596995,-1.6286105,-1.6446415,-1.6494137,-1.6776721,-1.6387841,-1.5733358,-1.369127,-1.4008887,-1.4727107,-1.3846284,-1.4588281,-1.5190922,-1.57826,-1.6808836,-1.7049551,-1.7341162,-1.6579504,-1.6934449
COG,GE,-1.3111633,-1.3109993,-1.3193929,-1.1452811,-1.285593,-1.2884306,-1.3116547,-1.1272144,-1.12546,-1.1177022,-1.1032116,-1.0475415,-1.1096762,-0.929383,-0.8351827,-0.8123243,-0.8685556,-0.9770525,-0.9420603,-1.1735413,-1.1895932,-1.1313765,-1.1669408,-1.110638
COK,GE,,,,,0.3782609,0.3652926,0.5085186,0.5238152,-0.3673689,-0.4916805,-0.4670792,-0.7884165,-0.7876085,-0.7549339,-0.7609589,,,,,,,0.0321933,0.0389791,0.5262603
CRI,GE,0.1089203,0.2004916,0.1932721,0.2661532,0.2312006,0.1677132,0.2444248,0.2763826,0.4024005,0.4026744,0.3641095,0.4335446,0.3382818,0.3669615,0.3596651,0.315527,0.3339142,0.3528682,0.3043657,0.2258033,0.2714874,0.1212348,0.3340948,0.2868975
CIV,GE,-1.1469455,-1.3137544,-1.3187701,-1.6168878,-1.5345441,-1.3783377,-1.4015618,-1.3605844,-1.1486226,-1.2514065,-1.20852,-1.0666458,-0.9238056,-0.7218402,-0.5999604,-0.6103532,-0.5958625,-0.5079239,-0.4891342,-0.4875808,-0.5005974,-0.354842,-0.3185096,-0.3157177
HRV,GE,0.1833787,0.2060399,0.1631364,0.3693341,0.354903,0.302513,0.3753871,0.3957849,0.4213095,0.2868905,0.240585,0.4012631,0.4156062,0.4256344,0.2567445,0.2649439,0.404068,0.4927546,0.4191078,0.5056587,0.7557995,0.7162336,0.7487411,0.7097625
CUB,GE,-0.4808917,-0.804966,-0.8099817,-0.580456,-0.8989728,-0.4655686,-0.464055,-0.4304076,-0.4262852,-0.5959661,-0.5964777,-0.4747673,-0.4746378,-0.0016531,-0.0026185,-0.0350921,-0.0638778,-0.211616,-0.1082032,-0.1099187,-0.0976359,0.0198019,-0.0018925,-0.2695183
CYP,GE,1.3111056,1.5489123,1.2427928,1.1952669,1.299176,1.2048195,1.2334071,1.3890009,1.3244041,1.4784399,1.4990644,1.485049,1.4722986,1.1190613,1.0770285,1.0483689,1.1146166,0.860738,0.9974556,1.0026015,0.86,0.9509266,0.9314768,0.8696373
CZE,GE,0.5125501,0.8849793,0.8087247,0.7384194,0.9422649,0.8055261,0.6145105,0.7918796,0.8451827,0.713873,0.7416914,0.7285974,0.6929877,0.9017758,0.9304102,1.0079335,1.0284233,1.0258091,0.971418,1.0855924,1.1010113,1.1951482,1.2354239,1.1773279
DNK,GE,1.9471575,2.1922798,2.1441789,2.0993907,2.0614768,2.1627643,2.2040874,2.1465669,2.1667207,1.920097,2.0426979,1.9667251,1.9589905,1.8095293,1.7943827,1.8352349,1.8254188,1.920528,1.9444854,1.9999488,2.1905145,2.0983389,1.9559634,1.9128986
DJI,GE,-1.3119868,-0.7954281,-0.8082803,-0.7162118,-0.8400325,-1.0430659,-0.8772624,-0.8117514,-0.7338482,-0.7292418,-0.7251155,-0.7689658,-0.7216376,-0.6905333,-0.7524266,-0.7128754,-0.7792345,-0.7720107,-0.6529552,-0.6750074,-0.6477013,-0.5581809,-0.536184,-0.4930443
DMA,GE,0.7532431,0.7534943,0.7406422,0.3813429,0.3823937,0.3806177,0.5040295,0.5061243,0.5134391,0.6879945,0.6135665,0.6138167,0.6140962,0.1205519,0.118468,0.0457581,-0.4588519,-0.4575605,-0.4563017,-0.3864624,-0.384329,-0.0222235,0.3883874,0.1490422
DOM,GE,-0.8764303,-0.8441522,-0.8381869,-0.797519,-0.8364096,-0.6870847,-0.7085351,-0.6984304,-0.6709237,-0.7108721,-0.6735468,-0.5008993,-0.4176139,-0.1120342,-0.3030553,-0.2432639,-0.3142266,-0.3568186,-0.2994857,-0.3603632,-0.1501487,-0.1210713,0.045792,0.0746487
ECU,GE,-1.0664178,-1.0787578,-1.0385274,-0.911567,-0.926587,-0.902354,-0.83636,-0.7597485,-0.4783124,-0.4838765,-0.3010584,-0.2920188,-0.1859129,-0.1076037,-0.193813,-0.1531976,-0.1425925,-0.213034,-0.1952963,-0.3435075,-0.1107469,0.0016249,-0.1625339,-0.2196127
EGY,GE,-0.2541717,-0.728812,-0.6388485,-0.5720178,-0.6310497,-0.6146272,-0.5786331,-0.5179342,-0.3337177,-0.4820938,-0.493349,-0.5323164,-0.7648363,-0.6440128,-0.5216722,-0.4409504,-0.4068952,-0.4058855,-0.1186417,-0.2343559,-0.2251023,-0.1434309,-0.0397463,-0.0970579
SLV,GE,-0.962052,-0.8887994,-0.8359755,-0.4755758,-0.5234141,-0.4228257,-0.4204939,-0.4518894,-0.3350992,-0.2079515,-0.2858874,-0.2629505,-0.2285247,-0.1173206,-0.3051905,-0.3247185,-0.3512048,-0.3651057,-0.3446971,-0.1427333,-0.2484854,-0.387094,-0.0947816,-0.1831795
GNQ,GE,-1.3654721,-1.3653191,-1.373151,-1.374142,-1.4036206,-1.4051422,-1.4028412,-1.4010464,-1.3669139,-1.3172768,-1.3209115,-1.3207353,-1.3530473,-0.9774502,-0.9975418,-0.9739752,-1.0052134,-0.9846747,-1.009579,-1.0623792,-1.041591,-1.1757572,-1.1523444,-1.1825117
ERI,GE,-1.3119868,-0.9332579,-0.9425026,-1.0685702,-0.9143152,-1.1331014,-1.1318599,-1.141717,-1.1515328,-1.1909988,-1.2937716,-1.3263806,-1.3919184,-1.2490594,-1.2742181,-1.2669749,-1.2739169,-1.4237759,-1.4628029,-1.3975653,-1.394653,-1.3434874,-1.3802453,-1.4561789
EST,GE,0.58135,0.6400868,0.8739661,0.8750238,0.9156236,1.0357675,0.9948635,1.0468986,0.9229304,1.0389597,1.0559372,1.0577763,1.0627505,1.1638114,1.0344114,1.0636815,1.0682358,1.2651627,1.1953645,1.3201957,1.3707206,1.3587321,1.2678954,1.2969908
SWZ,GE,-0.2793718,-0.2791206,-0.8082803,-1.1297751,-1.0842476,-0.5609934,-0.5904897,-0.3147488,-0.3984928,-0.2557265,-0.3542781,-0.1872129,-0.2076097,-0.2740835,-0.2900182,-0.2483557,-0.2875028,-0.4508541,-0.4962233,-0.6235547,-0.7233034,-0.6320655,-0.7177742,-0.7811414
ETH,GE,-1.3518124,-1.2859289,-1.4424574,-1.0120279,-0.9183428,-0.7589014,-0.6386095,-0.530582,-0.5208217,-0.4772744,-0.5169232,-0.4212532,-0.5207719,-0.451423,-0.5298526,-0.4771006,-0.5281279,-0.5328814,-0.5253376,-0.5516895,-0.6504621,-0.7000773,-0.6883758,-0.645991
FJI,GE,0.2369357,0.2371868,0.2243347,-0.1479039,0.217451,0.2145048,-0.2973473,-0.8101796,-0.8655432,-0.5441368,-0.5254383,-0.5785579,-0.5782637,-0.0992434,-0.1014372,-0.1006746,-0.100427,0.4324074,1.1141072,0.6553479,0.7309158,0.5025006,0.5033911,0.6089609
FIN,GE,2.118098,2.32219,2.3184526,2.1608063,2.1754916,2.0312012,1.8931493,1.9976827,2.1588192,2.1469591,2.2380912,2.2730989,2.2328225,2.0675854,1.9234691,1.9380968,2.1101082,2.1598194,2.1491065,2.1354229,2.1560517,1.8972063,1.787685,1.8171611
FRA,GE,1.6644076,1.5487521,1.6348006,1.553699,1.7144505,1.463733,1.5196924,1.6286144,1.5501891,1.4409639,1.4686756,1.5129077,1.4742784,1.4539502,1.4592807,1.4200425,1.4018117,1.5186813,1.4821333,1.4906558,1.5363267,1.4637769,1.3517693,1.2007009
